phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
walking,tensometric,5,Autokorelacja,24,24,1.0,4.105031073476117,5.0042968440356805,1.0402614204711693,4.105031073476117,0
walking,tensometric,5,FFT,24,24,1.0,4.163978817272121,5.504480078336615,-2.1758164650278125,4.163978817272121,0
walking,tensometric,5,Maksima,24,8,0.3333333333333333,4.471606387510278,6.6627513021535245,4.221606387510278,11.907202129170093,16
walking,tensometric,5,Minima,24,10,0.4166666666666667,5.442827657378741,7.898308488973047,4.606464021015103,10.809511523907808,14
walking,tensometric,5,Przejścia przez zero,24,15,0.625,7.654999846064313,9.87301600526008,3.9345483834839152,9.784374903790196,9
walking,tensometric,10,Autokorelacja,24,24,1.0,9.83667757345872,14.553958244386306,0.3703116738531076,9.83667757345872,0
walking,tensometric,10,FFT,24,24,1.0,5.715141360266908,7.310562453470187,-2.7005347417205936,5.715141360266908,0
walking,tensometric,10,Maksima,24,22,0.9166666666666666,4.149745369917408,5.605960086892785,1.7913488122633632,4.637266589090957,2
walking,tensometric,10,Minima,24,22,0.9166666666666666,4.289928286635437,6.101591168530677,2.031271751077898,4.765767596082484,2
walking,tensometric,10,Przejścia przez zero,24,22,0.9166666666666666,4.906976877423504,6.325992873249326,1.8598951478199617,5.331395470971545,2
walking,tensometric,20,Autokorelacja,24,24,1.0,17.52252546307069,21.116293950041047,2.3556565080654424,17.52252546307069,0
walking,tensometric,20,FFT,24,24,1.0,7.0432272012670945,8.824638099626764,-2.4015350797692006,7.0432272012670945,0
walking,tensometric,20,Maksima,24,24,1.0,4.99136806830595,6.941639042389772,2.489418079185004,4.99136806830595,0
walking,tensometric,20,Minima,24,24,1.0,4.817248843619378,6.724695098026648,2.1482868881067954,4.817248843619378,0
walking,tensometric,20,Przejścia przez zero,24,24,1.0,4.887451807216125,6.440264093167594,0.819571403904793,4.887451807216125,0
