session,phase,channel,device,window_s,window_start_s,window_end_s,target_bpm,method,estimated_bpm,error_bpm,absolute_error_bpm,valid,event_count,contains_target_transition
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,140.0,145.0,15.0,Autokorelacja,17.77777777777778,2.7777777777777786,2.7777777777777786,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,140.0,145.0,15.0,FFT,14.180313768464405,-0.8196862315355951,0.8196862315355951,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,145.0,150.0,15.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,145.0,150.0,15.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,145.0,150.0,15.0,Przejścia przez zero,17.142857142857142,2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,145.0,150.0,15.0,Autokorelacja,19.2,4.199999999999999,4.199999999999999,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,145.0,150.0,15.0,FFT,17.13813946097154,2.1381394609715407,2.1381394609715407,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,150.0,155.0,20.0,Maksima,34.285714285714285,14.285714285714285,14.285714285714285,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,150.0,155.0,20.0,Minima,40.0,20.0,20.0,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,150.0,155.0,20.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,150.0,155.0,20.0,Autokorelacja,13.714285714285714,-6.2857142857142865,6.2857142857142865,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,150.0,155.0,20.0,FFT,5.616167691567026,-14.383832308432975,14.383832308432975,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,155.0,160.0,20.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,155.0,160.0,20.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,155.0,160.0,20.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,155.0,160.0,20.0,Autokorelacja,20.0,0.0,0.0,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,155.0,160.0,20.0,FFT,18.341066827390726,-1.6589331726092738,1.6589331726092738,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,160.0,165.0,25.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,160.0,165.0,25.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,160.0,165.0,25.0,Przejścia przez zero,17.142857142857142,-7.857142857142858,7.857142857142858,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,160.0,165.0,25.0,Autokorelacja,18.46153846153846,-6.53846153846154,6.53846153846154,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,160.0,165.0,25.0,FFT,16.642145145617363,-8.357854854382637,8.357854854382637,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,165.0,170.0,25.0,Maksima,25.263157894736842,0.2631578947368425,0.2631578947368425,True,2,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,165.0,170.0,25.0,Minima,25.263157894736842,0.2631578947368425,0.2631578947368425,True,2,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,165.0,170.0,25.0,Przejścia przez zero,22.857142857142858,-2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,165.0,170.0,25.0,Autokorelacja,25.263157894736842,0.2631578947368425,0.2631578947368425,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,165.0,170.0,25.0,FFT,22.426673223056415,-2.573326776943585,2.573326776943585,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,170.0,175.0,10.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,170.0,175.0,10.0,Minima,,,,False,0,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,170.0,175.0,10.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,170.0,175.0,10.0,Autokorelacja,15.0,5.0,5.0,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,170.0,175.0,10.0,FFT,6.64000831725461,-3.35999168274539,3.35999168274539,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,175.0,180.0,10.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,175.0,180.0,10.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,175.0,180.0,10.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,175.0,180.0,10.0,Autokorelacja,17.77777777777778,7.777777777777779,7.777777777777779,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,175.0,180.0,10.0,FFT,15.449677246249268,5.4496772462492675,5.4496772462492675,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,180.0,185.0,15.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,180.0,185.0,15.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,180.0,185.0,15.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,180.0,185.0,15.0,Autokorelacja,17.77777777777778,2.7777777777777786,2.7777777777777786,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,180.0,185.0,15.0,FFT,13.98963702039027,-1.0103629796097309,1.0103629796097309,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,185.0,190.0,15.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,185.0,190.0,15.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,185.0,190.0,15.0,Przejścia przez zero,17.142857142857142,2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,185.0,190.0,15.0,Autokorelacja,17.77777777777778,2.7777777777777786,2.7777777777777786,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,185.0,190.0,15.0,FFT,13.6632126766457,-1.3367873233543008,1.3367873233543008,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,190.0,195.0,20.0,Maksima,21.818181818181817,1.8181818181818166,1.8181818181818166,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,190.0,195.0,20.0,Minima,26.666666666666668,6.666666666666668,6.666666666666668,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,190.0,195.0,20.0,Przejścia przez zero,36.92307692307692,16.92307692307692,16.92307692307692,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,190.0,195.0,20.0,Autokorelacja,14.117647058823529,-5.882352941176471,5.882352941176471,True,1,True
